# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000     1942.445     5234.496
       1.023        9.800     1942.445     5234.496
       2.052        9.700     1942.445     5234.496
       3.083       18.400     1942.445     5234.496
       4.116        9.700     1942.445     5234.496
       5.148        8.700     1942.445     5234.496
       6.180       15.500     1942.445     5234.496
       7.212        9.700     1942.445     5234.496
       8.244       18.400     1942.445     5234.496
       9.271        8.800     1942.445     5234.496
      10.299        9.700     1942.445     5234.496
      11.330       18.400     1942.445     5234.496
      12.358        9.700     1942.445     5234.496
      13.391        9.700     1942.445     5234.496
      14.420       16.500     1942.445     5234.496
      15.452        8.700     1942.445     5234.496
      16.476       15.600     1942.445     5234.496
      17.502        9.700     1942.445     5234.496
      18.531        9.700     1942.445     5234.496
      19.564       17.400     1942.445     5234.496
      20.596        9.700     1942.445     5234.496
      21.629        9.700     1942.445     5234.496
      22.660       17.500     1942.445     5234.496
      23.694        9.700     1942.445     5234.496
      24.724       15.500     1942.445     5234.496
      25.756       12.600     1942.445     5234.496
      26.788        9.700     1942.445     5234.496
      27.816       18.500     1942.445     5234.496
      28.840        8.800     1942.445     5234.496
      29.872       10.700     1942.445     5234.496
      30.904       19.400     1942.445     5234.496
      31.935        9.700     1942.445     5234.496
      32.968       14.500     1942.445     5234.496
      33.998       13.600     1942.445     5234.496
      35.028        8.700     1942.445     5234.496
      36.059       17.500     1942.445     5234.496
      37.092       10.700     1942.445     5234.496
      38.124        8.700     1942.445     5234.496
      39.155       18.400     1942.445     5234.496
      40.188        9.700     1942.445     5234.496
      41.218       17.500     1942.445     5234.496
      42.251       14.500     1942.445     5234.496
      43.284        7.700     1942.445     5234.496
      44.315       19.400     1942.445     5234.496
      45.347       10.700     1942.445     5234.496
      46.379        9.700     1942.445     5234.496
      47.412       18.400     1942.445     5234.496
      48.444       10.700     1942.445     5234.496
      49.475       15.500     1942.445     5234.496
      50.505       11.600     1942.445     5234.496
      51.536        9.700     1942.445     5234.496
      52.568       17.400     1942.445     5234.496
      53.600       10.700     1942.445     5234.496
      54.632        8.700     1942.445     5234.496
      55.662       18.400     1942.445     5234.496
      56.694        8.700     1942.445     5234.496
      57.724       15.500     1942.445     5234.496
      58.755       10.700     1942.445     5234.496
      59.786        9.700     1942.445     5234.496
